id,batteryHealth,binId,binStatus,currentFillLevel,latLong,timesTamp
20629,95,CleanCUBE-A1808201809AA03,"Half Full",40,NULL,"2021-10-24 10:00:03"
20630,100,CleanCUBE-A1905081905AA00,Low,16,NULL,"2021-10-24 10:00:03"
20631,10,CleanFLEX-FB2000002008AC00,Full,89,"-33.918951, 151.25847","2021-10-24 10:00:03"
20632,100,CleanFLEX-FB2000001911AA87,Full,100,NULL,"2021-10-24 10:00:03"
20633,100,CleanFLEX-FB2000001911AA88,Full,100,NULL,"2021-10-24 10:00:03"
20634,100,CleanFLEX-FB2000001911AA91,Full,100,NULL,"2021-10-24 10:00:03"
20635,100,CleanCUBE-A1905081905AA06,Low,13,NULL,"2021-10-24 10:00:03"
20636,100,CleanCUBE-A1905081905AA09,Low,14,NULL,"2021-10-24 10:00:03"
20637,95,CleanCUBE-A1905081905AA13,Low,17,NULL,"2021-10-24 10:00:03"
20638,100,CleanCUBE-A1907221908AA73,Low,0,NULL,"2021-10-24 10:00:03"
20639,100,CleanCUBE-A1905081905AA19,Low,10,NULL,"2021-10-24 10:00:03"
20640,10,CleanFLEX-FB2000002008AC09,Low,10,"-33.919135, 151.258104","2021-10-24 10:00:03"
20641,10,CleanFLEX-FB2000002008AC10,"Half Full",36,"-33.920227, 151.257692","2021-10-24 10:00:03"
20642,10,CleanFLEX-FB2000002008AC19,Low,18,"-33.920289, 151.257056","2021-10-24 10:00:03"
20643,10,CleanFLEX-FB2000002008AC20,Low,17,"-33.920372, 151.257036","2021-10-24 10:00:03"
20644,10,CleanFLEX-FB2000002008AC13,"Half Full",52,"-33.920034, 151.257165","2021-10-24 10:00:03"
20645,10,CleanFLEX-FB2000002008AC04,Full,74,"-33.919505, 151.257857","2021-10-24 10:00:03"
20646,10,CleanFLEX-FB2000002008AC06,Full,88,"-33.91947, 151.257542","2021-10-24 10:00:03"
20647,95,CleanFLEX-FB2000002005AB66,"Half Full",34,"-33.920944, 151.257001","2021-10-24 10:00:03"
20648,95,CleanFLEX-FB2000002005AB64,Full,77,"-33.920816, 151.257022","2021-10-24 10:00:03"
20649,95,CleanCUBE-A1811211812AA04,Low,0,NULL,"2021-01-23 04:00:03"
20650,100,CleanCUBE-D1905281906AA03,"Half Full",42,NULL,"2021-01-23 04:00:03"
20651,10,CleanFLEX-FB2000002008AC01,"Half Full",42,"-33.919135, 151.258104","2021-10-24 11:00:03"
20652,10,CleanFLEX-FB2000002008AC02,Full,100,"-33.920227, 151.257692","2021-10-24 11:00:03"
20653,10,CleanFLEX-FB2000002008AC03,Low,11,"-33.918951, 151.25847","2021-10-24 11:00:03"
20654,100,CleanFLEX-FB2000001911AA89,Full,92,NULL,"2021-10-24 11:00:03"
20655,10,CleanFLEX-FB1000001906AA19,Full,100,NULL,"2021-10-24 11:00:03"
20656,10,CleanFLEX-FB1000001906AA18,Low,14,NULL,"2021-10-24 11:00:03"
20657,95,CleanFLEX-FB2000002005AB63,Low,21,"-33.919505, 151.257857","2021-10-24 11:00:03"
20658,95,CleanFLEX-FB2000002005AB67,"Half Full",59,"-33.920816, 151.257022","2021-10-24 11:00:03"
20659,10,CleanFLEX-FB2000002008AC05,"Half Full",40,"-33.919505, 151.257857","2021-10-24 11:00:03"
