id,batteryHealth,binId,binStatus,currentFillLevel,latLong,timesTamp
5126,35,CleanFLEX-FB2000002008AC16,"Half Full",68,"-33.919477, 151.257681","2021-10-11 09:00:04"
5127,100,CleanFLEX-FB2000002008AC14,Low,21,"-33.920358, 151.257167","2021-10-11 09:00:04"
5128,100,CleanFLEX-FB2000001911AA90,Full,100,NULL,"2021-10-11 09:00:04"
5129,95,CleanCUBE-A1808201809AA03,Low,24,NULL,"2021-10-11 09:00:04"
5130,100,CleanCUBE-A1905081905AA00,Low,16,NULL,"2021-10-11 09:00:04"
5131,100,CleanFLEX-FB2000001911AA87,Full,100,NULL,"2021-10-11 09:00:04"
5132,100,CleanFLEX-FB2000001911AA88,Full,100,NULL,"2021-10-11 09:00:04"
5133,100,CleanCUBE-A1907221908AA73,"Half Full",60,NULL,"2021-10-11 09:00:04"
5134,100,CleanCUBE-A1905081905AA06,Low,13,NULL,"2021-10-11 09:00:04"
5135,100,CleanCUBE-A1905081905AA09,Low,9,NULL,"2021-10-11 09:00:04"
5136,95,CleanCUBE-A1905081905AA13,Low,14,NULL,"2021-10-11 09:00:04"
5137,100,CleanCUBE-A1905081905AA19,Low,3,NULL,"2021-10-11 09:00:04"
5138,10,CleanFLEX-FB2000002008AC09,Low,10,"-33.919135, 151.258104","2021-10-11 09:00:04"
5139,10,CleanFLEX-FB2000002008AC10,"Half Full",36,"-33.920227, 151.257692","2021-10-11 09:00:04"
5140,100,CleanFLEX-FB2000001911AA91,Full,100,NULL,"2021-10-11 09:00:04"
5141,10,CleanFLEX-FB2000002008AC00,Full,89,"-33.918951, 151.25847","2021-10-11 09:00:04"
5142,35,CleanFLEX-FB2000002008AC13,"Half Full",41,"-33.920034, 151.257165","2021-10-11 09:00:04"
5143,10,CleanFLEX-FB2000002008AC04,Full,74,"-33.919505, 151.257857","2021-10-11 09:00:04"
5144,100,CleanFLEX-FB2000002008AC06,Full,88,"-33.91947, 151.257542","2021-10-11 09:00:04"
5145,95,CleanFLEX-FB2000002005AB64,"Half Full",60,"-33.920816, 151.257022","2021-10-11 09:00:04"
5146,10,CleanFLEX-FB2000002008AC20,Low,17,"-33.920372, 151.257036","2021-10-11 09:00:04"
5147,10,CleanFLEX-FB2000002008AC19,Low,18,"-33.920289, 151.257056","2021-10-11 09:00:04"
5148,95,CleanFLEX-FB2000002005AB66,Low,14,"-33.920944, 151.257001","2021-10-11 09:00:04"
5149,95,CleanCUBE-A1811211812AA04,Low,0,NULL,"2021-01-23 04:00:03"
5150,100,CleanCUBE-D1905281906AA03,"Half Full",42,NULL,"2021-01-23 04:00:03"
5151,95,CleanCUBE-A1905081905AA02,Low,0,NULL,"2021-10-11 10:00:04"
5152,10,CleanFLEX-FB2000002008AC05,"Half Full",40,"-33.919505, 151.257857","2021-10-11 10:00:04"
5153,100,CleanFLEX-FB2000002008AC17,Full,91,"-33.91947, 151.257542","2021-10-11 10:00:04"
5154,95,CleanFLEX-FB2000002005AB63,Low,10,"-33.919505, 151.257857","2021-10-11 10:00:04"
5155,95,CleanFLEX-FB2000002005AB67,Low,19,"-33.920816, 151.257022","2021-10-11 10:00:04"
5156,10,CleanFLEX-FB2000002008AC03,Low,11,"-33.918951, 151.25847","2021-10-11 10:00:04"
5157,10,CleanFLEX-FB2000002008AC12,Low,3,"-33.919727, 151.257213","2021-10-11 10:00:04"
5158,95,CleanFLEX-FB2000002005AB68,Low,29,"-33.919477, 151.257681","2021-10-11 10:00:04"
5159,10,CleanFLEX-FB2000002008AC01,"Half Full",42,"-33.919135, 151.258104","2021-10-11 10:00:04"
5160,10,CleanFLEX-FB2000002008AC02,Full,100,"-33.920227, 151.257692","2021-10-11 10:00:04"
5161,95,CleanCUBE-A1905081905AA07,"Half Full",55,NULL,"2021-10-11 10:00:04"
5162,100,CleanFLEX-FB2000001911AA89,Full,92,NULL,"2021-10-11 10:00:04"
5163,10,CleanFLEX-FB1000001906AA19,Full,100,NULL,"2021-10-11 10:00:04"
5164,10,CleanFLEX-FB1000001906AA18,Low,14,NULL,"2021-10-11 10:00:04"
5165,95,CleanCUBE-A1807111808AA01,Low,13,NULL,"2021-10-11 10:00:04"
5166,10,CleanFLEX-FB2000002008AC07,"Half Full",33,"-33.919555, 151.258164","2021-10-11 10:00:04"
5167,95,CleanFLEX-FB2000002008AC08,Low,17,"-33.919477, 151.257681","2021-10-11 10:00:04"
5168,100,CleanFLEX-FB2000001911AA90,Full,100,NULL,"2021-10-11 10:00:04"
5169,95,CleanCUBE-A1905081905AA26,Low,9,NULL,"2021-10-11 10:00:04"
5170,100,CleanFLEX-FB2000002008AC14,Low,21,"-33.920358, 151.257167","2021-10-11 10:00:04"
5171,100,CleanFLEX-FB2000002008AC15,"Half Full",30,"-33.920358, 151.257167","2021-10-11 10:00:04"
5172,95,CleanFLEX-FB2000002005AB69,"Half Full",32,"-33.920227, 151.257692","2021-10-11 10:00:04"
5173,95,CleanFLEX-FB2000002005AB62,"Half Full",31,"-33.91947, 151.257542","2021-10-11 10:00:04"
5174,95,CleanFLEX-FB2000002008AC16,Full,96,"-33.919477, 151.257681","2021-10-11 10:00:04"
5175,95,CleanFLEX-FB2000002005AB70,Low,23,"-33.919555, 151.258164","2021-10-11 10:00:04"
5176,95,CleanFLEX-FB2000002005AB65,Low,15,"-33.920944, 151.257001","2021-10-11 10:00:04"
5177,95,CleanFLEX-FB2000002005AB71,Low,10,"-33.922367, 151.256956","2021-10-11 10:00:04"
5178,10,CleanFLEX-FB2000002008AC18,Low,7,"-33.919555, 151.258164","2021-10-11 10:00:04"
5179,100,CleanCUBE-A1905081905AA00,Low,16,NULL,"2021-10-11 10:00:04"
